project,setting,direction,model,service,n_files,score_mean,yaml_pass_rate,external_pass_rate,yaml_score_mean,external_score_mean
Gepardec_Hogarama,CIMig,travis_to_gha,CIMig,gha,1,0.5,1.0,0.0,1.0,0.0
Gepardec_Hogarama,CIMig,gha_to_travis,CIMig,travis,1,0.0,0.0,0.0,0.0,0.0
Gepardec_Hogarama,Zero-Shot,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
Gepardec_Hogarama,Zero-Shot,travis_to_gha,llama3_1_8b,gha,1,1.0,1.0,1.0,1.0,1.0
Gepardec_Hogarama,Zero-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
Gepardec_Hogarama,Zero-Shot,travis_to_gha,mistral_7b,gha,1,1.0,1.0,1.0,1.0,1.0
Gepardec_Hogarama,Zero-Shot,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
Gepardec_Hogarama,Zero-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
Gepardec_Hogarama,Zero-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
Gepardec_Hogarama,Zero-Shot,gha_to_travis,mistral_7b,travis,1,1.0,1.0,1.0,1.0,1.0
Gepardec_Hogarama,Fine-Tuned,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
Gepardec_Hogarama,Fine-Tuned,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
Gepardec_Hogarama,Few-Shot,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
Gepardec_Hogarama,Few-Shot,travis_to_gha,llama3_1_8b,gha,1,0.0,0.0,0.0,0.0,0.0
Gepardec_Hogarama,Few-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
